               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12571,            0.060554,            0.062482,          0.00043894,            0.052083,          0.00040572,          5.3861e-05,              0.1234,            0.063703,            0.064749,              0.0964,              0.0004,              0.0004
                   1,             0.11914,            0.058844,            0.061554,           0.0013965,             0.17432,           0.0021719,          0.00031564,             0.11456,            0.073898,            0.062535,            0.091891,          0.00089109,          0.00089109
                   2,             0.10833,            0.070823,            0.058933,           0.0022233,             0.24087,           0.0036185,          0.00091102,             0.10143,             0.08906,            0.059405,            0.087372,           0.0013723,           0.0013723
                   3,            0.097664,            0.096616,            0.056399,           0.0068178,              0.4438,            0.016375,           0.0038666,              0.0901,            0.097087,            0.056817,            0.082844,           0.0018436,           0.0018436
                   4,            0.090447,             0.09393,            0.053705,            0.016148,             0.78756,            0.042429,            0.011633,            0.079455,            0.089422,            0.053121,            0.078305,            0.002305,            0.002305
                   5,            0.087144,            0.080262,            0.052506,             0.16333,             0.35705,               0.078,            0.021095,            0.072905,            0.082301,            0.051426,            0.073756,           0.0027564,           0.0027564
                   6,            0.082811,            0.074577,            0.050819,               0.796,             0.14265,             0.11424,            0.033745,            0.076212,            0.096614,            0.051081,            0.069198,            0.003198,            0.003198
                   7,            0.080771,            0.074653,            0.049249,             0.49894,             0.20719,            0.089864,            0.023257,            0.078879,             0.11069,            0.050896,             0.06463,           0.0036297,           0.0036297
                   8,            0.071886,            0.060702,            0.048475,             0.34597,             0.47524,             0.10999,            0.029248,            0.079484,            0.088638,            0.048222,            0.060052,           0.0040515,           0.0040515
                   9,            0.074875,            0.058229,             0.04695,             0.56065,             0.48027,              0.3217,             0.10996,            0.075093,            0.075267,            0.045947,            0.055463,           0.0044634,           0.0044634
                  10,            0.072201,            0.060634,            0.045508,             0.54823,             0.38706,             0.26522,            0.076991,            0.082254,            0.069901,            0.044199,            0.050865,           0.0048654,           0.0048654
                  11,            0.072393,            0.054008,            0.044569,             0.51789,             0.54812,             0.33417,             0.12843,            0.087634,            0.059654,            0.041706,            0.046257,           0.0052575,           0.0052575
                  12,            0.072577,            0.053702,             0.04341,             0.71523,             0.40639,             0.53103,             0.20657,            0.063683,            0.059092,            0.040656,             0.04164,           0.0056397,           0.0056397
                  13,            0.073787,            0.054028,            0.043015,             0.55899,             0.38924,             0.39855,             0.10272,            0.074073,            0.054092,            0.038603,            0.037012,            0.006012,            0.006012
                  14,            0.074039,            0.054677,            0.041731,             0.61481,             0.46809,             0.51945,             0.22581,            0.081107,            0.052709,            0.036319,            0.032374,           0.0063744,           0.0063744
                  15,            0.077889,            0.056484,            0.039859,             0.67057,             0.40698,             0.53109,             0.14712,            0.074083,            0.051193,            0.035401,            0.027727,           0.0067268,           0.0067268
                  16,             0.07416,            0.049478,            0.037414,             0.82237,             0.49761,             0.62559,              0.1862,            0.069193,             0.04999,            0.032855,            0.023069,           0.0070694,           0.0070694
                  17,            0.070773,            0.052173,             0.03615,             0.57268,             0.61358,             0.45246,             0.15349,            0.070788,            0.051821,             0.03231,            0.018402,           0.0074021,           0.0074021
                  18,            0.076348,            0.045198,            0.034743,             0.51698,             0.44073,             0.41173,             0.10759,            0.081473,            0.048322,             0.03078,            0.013725,           0.0077249,           0.0077249
                  19,            0.071902,            0.045765,            0.035403,             0.57515,             0.61067,             0.45524,              0.1784,            0.077955,            0.051376,            0.028522,           0.0090378,           0.0080378,           0.0080378
                  20,            0.076226,            0.055797,            0.033951,             0.54823,             0.47332,             0.46405,             0.15016,            0.072284,            0.049856,            0.027614,             0.00802,             0.00802,             0.00802
                  21,             0.07419,            0.049447,            0.033093,             0.59449,             0.64429,             0.52347,             0.22373,            0.070137,            0.049085,            0.026345,             0.00802,             0.00802,             0.00802
                  22,            0.071035,            0.050488,            0.030373,             0.48919,             0.65908,             0.39333,             0.15657,            0.066134,            0.048874,            0.025444,            0.007921,            0.007921,            0.007921
                  23,            0.065148,             0.05173,            0.029674,             0.56954,             0.63815,             0.52244,             0.17275,            0.071402,            0.049624,            0.023967,            0.007822,            0.007822,            0.007822
                  24,            0.071792,            0.042367,            0.028753,             0.57011,             0.60703,              0.5273,             0.17556,            0.066613,            0.048414,            0.022746,            0.007723,            0.007723,            0.007723
                  25,            0.064354,            0.049938,            0.027845,             0.72838,               0.578,             0.64666,             0.30162,            0.061633,            0.047401,            0.022231,            0.007624,            0.007624,            0.007624
                  26,            0.060261,            0.047988,            0.026968,              0.5378,             0.59256,             0.60261,             0.20113,            0.057704,            0.049062,            0.021571,            0.007525,            0.007525,            0.007525
                  27,            0.057966,            0.045544,            0.026324,             0.36233,             0.83883,             0.61936,             0.19507,            0.083333,            0.053846,            0.020284,            0.007426,            0.007426,            0.007426
                  28,            0.074521,            0.049751,            0.025394,                0.64,             0.68241,             0.91558,             0.40863,            0.055686,            0.046432,            0.019882,            0.007327,            0.007327,            0.007327
                  29,            0.060685,            0.054423,            0.026193,             0.41875,             0.87209,              0.6922,             0.34794,            0.063811,            0.050858,            0.019631,            0.007228,            0.007228,            0.007228
                  30,            0.057843,            0.041862,            0.025283,             0.64679,             0.64651,             0.81244,             0.38715,            0.052322,            0.047485,            0.019242,            0.007129,            0.007129,            0.007129
                  31,            0.053383,            0.045784,            0.024057,             0.40383,             0.93574,              0.7024,             0.31357,            0.078021,            0.050888,            0.018051,             0.00703,             0.00703,             0.00703
                  32,            0.071634,            0.037404,             0.02258,             0.82424,             0.67484,             0.97684,             0.38856,             0.04771,            0.045029,            0.017789,            0.006931,            0.006931,            0.006931
                  33,            0.053741,            0.045795,            0.022146,             0.35059,             0.97619,             0.87057,             0.43813,            0.061709,            0.046852,             0.01741,            0.006832,            0.006832,            0.006832
                  34,             0.05371,             0.03961,            0.023439,             0.44683,             0.97959,             0.90469,             0.36024,            0.046872,            0.044533,            0.017168,            0.006733,            0.006733,            0.006733
                  35,            0.043748,            0.040132,             0.02036,             0.38513,                   1,              0.9495,              0.4712,            0.061323,            0.051478,            0.016179,            0.006634,            0.006634,            0.006634
                  36,             0.05735,            0.038756,             0.02121,             0.40817,                   1,             0.94407,             0.42574,            0.048749,            0.045924,            0.015922,            0.006535,            0.006535,            0.006535
                  37,            0.052774,            0.048786,            0.020376,             0.81011,             0.65716,             0.95847,             0.57195,            0.054538,             0.04615,            0.015582,            0.006436,            0.006436,            0.006436
                  38,            0.050939,             0.04002,            0.019097,              0.5817,                   1,             0.92281,             0.37887,            0.047195,            0.044278,            0.015426,            0.006337,            0.006337,            0.006337
                  39,            0.043562,            0.043535,            0.018687,             0.61746,                   1,             0.93763,             0.48453,            0.052226,            0.047755,            0.014816,            0.006238,            0.006238,            0.006238
                  40,            0.052586,            0.044789,            0.021377,             0.45803,                   1,             0.86644,             0.42758,            0.053129,            0.044635,            0.014332,            0.006139,            0.006139,            0.006139
                  41,            0.049033,             0.03907,            0.019502,             0.56251,                   1,             0.98841,             0.47962,            0.042109,            0.042224,            0.014116,             0.00604,             0.00604,             0.00604
                  42,            0.045061,            0.043113,            0.018484,             0.56363,                   1,             0.89396,             0.59443,            0.045609,            0.043279,            0.013761,            0.005941,            0.005941,            0.005941
                  43,            0.041428,            0.038803,            0.018206,             0.54706,                   1,             0.94513,             0.54926,            0.050066,            0.044423,             0.01319,            0.005842,            0.005842,            0.005842
                  44,            0.053762,            0.043288,            0.017592,             0.66005,                   1,             0.98256,             0.47073,            0.045317,            0.043203,            0.013041,            0.005743,            0.005743,            0.005743
                  45,             0.04383,            0.036692,            0.017528,             0.59514,                   1,             0.97967,             0.65215,            0.039961,            0.043999,            0.012663,            0.005644,            0.005644,            0.005644
                  46,            0.044082,            0.043805,            0.016963,             0.76893,                   1,             0.97491,             0.56582,            0.038153,            0.041494,            0.012561,            0.005545,            0.005545,            0.005545
                  47,            0.039589,            0.033023,            0.016343,             0.53211,                   1,             0.85085,             0.42434,            0.050369,            0.043966,            0.012092,            0.005446,            0.005446,            0.005446
